Team,Total,Overs,Run Rate,Innings,Against,Venue,Date
United,247/2,20,12.35,1,Zalmi,Abu Dhabi,17-Jun-21
Sultans,245/3,20,12.25,1,Gladiators,Lahore,18-Feb-22
Qalandars,241/3,20,12.05,1,Zalmi,Lahore,26-Feb-23
United,238/3,20,11.9,1,Qalandars,Karachi,09-Mar-19
Zalmi,232/6,20,11.6,2,United,Abu Dhabi,17-Jun-21
United,229/4,20,11.45,1,Gladiators,Karachi,03-Feb-22
Sultans,222/3,20,11.1,1,Zalmi,Karachi,05-Feb-22
United,220/6,20,11,1,Gladiators,Karachi,24-Feb-23
Sultans,217/5,20,10.85,1,United,Karachi,01-Feb-22
Zalmi,214/5,20,10.7,1,United,Karachi,15-Mar-19
Sultans,210/3,20,10.5,1,Zalmi,Multan,17-Feb-23
Sultans,209/5,19.4,10.62,2,Qalandars,Karachi,29-Jan-22
Qalandars,209/5,20,10.45,1,Gladiators,Lahore,03-Mar-20
Gladiators,207/3,19.3,10.61,2,Qalandars,Karachi,07-Feb-22
Sultans,206/4,20,10.3,1,Zalmi,Abu Dhabi,24-Jun-21
Qalandars,206/5,20,10.3,1,Sultans,Karachi,29-Jan-22
Zalmi,206/8,20,10.3,1,United,Lahore,17-Feb-22
Qalandars,204/4,20,10.2,2,Sultans,Sharjah,22-Feb-19
Qalandars,204/5,20,10.2,1,Gladiators,Karachi,07-Feb-22
Gladiators,203/5,19.4,10.32,2,United,Lahore,12-Feb-22
Gladiators,203/8,20,10.15,2,Qalandars,Dubai (DSC),16-Feb-16
Zalmi,203/7,20,10.15,1,Kings,Karachi,11-Mar-19
Gladiators,202/5,18.5,10.72,2,Qalandars,Sharjah,18-Feb-17
Zalmi,202/7,19.3,10.35,2,Gladiators,Karachi,26-Feb-21
Qalandars,201/2,20,10.05,1,Gladiators,Dubai (DSC),16-Feb-16
Kings,201/4,20,10.05,1,Zalmi,Karachi,21-Feb-20
Zalmi,201/9,20,10.05,2,Qalandars,Lahore,26-Feb-23
Qalandars,200/3,20,10,1,Gladiators,Sharjah,18-Feb-17
Gladiators,200/7,20,10,1,Zalmi,Sharjah,28-Feb-17
Sultans,200/6,20,10,1,Qalandars,Sharjah,22-Feb-19
Qalandars,200/7,20,10,1,United,Lahore,27-Feb-23
