 Brand , Model , Year , HP , Speed , Color , Category ,   Price   
Audi,eTron GT,2021,522,152,White,Sedan," $103,895.00 "
Audi,Q7,2009,261,245,Grey,SUV," $64,800.00 "
Audi,R8,2016,562,203,Silver,Sports," $158,600.00 "
Audi,RS7,2013,591,190,Red,Sedan," $120,900.00 "
Audi,S5,2017,349,253,Blue,Sedan," $54,082.00 "
Audi,TTS Coupe,2015,265,211,Red,Sedan," $49,800.00 "
BMW,i8,2015,374,250,Orange,Sports," $147,500.00 "
BMW,M3 GTR,2002,350,295,Silver,Muscle," $75,295.00 "
BMW,M5,2012,616,305,Blue,Sedan," $105,695.00 "
BMW,X6 M,2015,617,243,Silver,Sedan," $73,900.00 "
Bugatti,Chiron,2018,1500,490,Blue,Sports," $3,825,000.00 "
Bugatti,Divo,2019,1479,380,Blue,Sports," $5,700,000.00 "
Bugatti,La Voiture,2020,1500,418,Black,Sports," $16,500,000.00 "
Bugatti,Veyron,2011,987,410,Black,Sports," $1,900,000.00 "
Chevrolet,Camaro,2017,455,190,Yellow,Muscle," $25,800.00 "
Chevrolet,Corvette,2009,495,194,Red,Sports," $61,900.00 "
Dodge,Challenger,2015,807,203,Red,Muscle," $32,140.00 "
Dodge,Charger,2010,797,196,Black,Muscle," $32,645.00 "
Dodge,Durango,2018,360,193,Green,SUV," $116,415.00 "
Ferrari,FXX K,2014,1036,347,White,Sports," $4,281,250.00 "
Ferrari,La Ferrari,2013,952,350,Red,Sports," $3,126,249.00 "
Ferrari,Pista,2019,711,339,White,Sports," $645,000.00 "
Ferrari,Stradale,2003,759,337,Red,Electric," $516,295.00 "
Ford,Bronco,2021,275,192,Red,SUV," $32,295.00 "
Ford,Edge ST,2014,335,130,Grey,SUV," $46,485.00 "
Ford,Escort,1992,88,187,White,Compact," $14,076.00 "
Ford,GT,2015,647,310,Blue,Sports," $500,000.00 "
Ford,Mustang,2011,395,237,Blue,Muscle," $27,770.00 "
Ford,Raptor,2017,450,178,Black,SUV," $78,480.00 "
Ford,Shelby,2013,760,279,White,Muscle," $77,155.00 "
Honda,Accord,2016,192,125,Black,Sedan," $26,120.00 "
Honda,BR-V,2019,121,175,White,SUV," $19,620.00 "
Honda,C-HR,2014,190,201,Grey,SUV," $26,400.00 "
Honda,City,2015,117,175,White,Sedan," $19,350.00 "
Honda,Civic,2018,180,130,Black,Sports," $22,900.00 "
Honda,NSX-R,2005,270,307,Yellow,Sports," $73,920.00 "
Hyundai,Elantra,2020,147,140,Silver,Sedan," $20,500.00 "
Hyundai,Sonata,2021,290,130,Grey,Sedan," $24,950.00 "
Jaguar,F-Pace S,2017,246,217,Silver,SUV," $53,550.00 "
Jaguar,I-Pace,2018,394,202,Grey,Sedan," $71,300.00 "
Jaguar,XE-S,2015,257,248,Red,Sedan," $39,900.00 "
Jeep,Trailcat,2016,707,272,Green,SUV," $34,740.00 "
Jeep,Wagoneer,2017,392,118,Red,SUV," $87,995.00 "
Jeep,Wrangler,2012,470,196,Grey,SUV," $56,000.00 "
KIA,Forte,2021,120,201,Silver,Sedan," $19,490.00 "
KIA,Sorento,2013,124,227,Red,Electric," $29,590.00 "
KIA,Sportage,2017,181,207,Red,SUV," $25,990.00 "
KIA,Stinger,2016,300,209,Silver,Sedan," $38,890.00 "
Koenigsegg,Agera,2011,1124,439,Red,Sports," $1,500,000.00 "
Koenigsegg,Jesko,2020,1280,480,Grey,Sports," $3,650,000.00 "
Koenigsegg,Regera,2016,1797,404,White,Sports," $3,200,000.00 "
Lamborghini,Aventador,2012,769,350,Yellow,Sports," $789,809.00 "
Lamborghini,Huracan,2014,631,325,Orange,Sports," $248,295.00 "
Lamborghini,Murcielago,2010,641,342,Black,Sports," $295,417.00 "
Lamborghini,Reventon,2008,635,330,Red,Sports," $1,420,000.00 "
Lamborghini,Urus,2019,657,305,Black,SUV," $363,880.00 "
Lamborghini,Veneno,2013,740,355,Green,Sports," $4,500,000.00 "
Land Rover,Defender,2020,296,240,Black,SUV," $53,400.00 "
Land Rover,Range Rover,2015,395,235,Grey,SUV," $104,500.00 "
Lexus,LC 500,2021,416,218,Black,Sedan," $76,100.00 "
Lexus,LFA,2010,563,325,White,Electric," $375,000.00 "
Lexus,RX Hybrid,2022,246,201,Silver,SUV," $50,150.00 "
Lotus,3-Eleven,2016,430,286,Green,Sports," $142,000.00 "
Lotus,Elise,1999,218,248,Yellow,Sports," $25,357.00 "
Lotus,Exige,2012,345,290,Blue,Electric," $40,920.00 "
Maseratti,Ghilibi,2019,564,326,White,Sedan," $95,350.00 "
Maseratti,GT,2010,483,289,Red,Sports," $295,000.00 "
Maseratti,Levente,2017,573,264,Blue,SUV," $126,990.00 "
Mazda,Cosmo,1996,276,185,White,Muscle," $92,634.00 "
Mazda,MX5,2013,205,220,Red,Sports," $38,950.00 "
Mazda,RX7,1997,160,213,White,Sports," $24,784.00 "
McLaren,12C Coupe,2011,616,329,Orange,Sports," $121,774.00 "
McLaren,F1 GT,1997,612,327,Grey,Sports," $208,490.00 "
McLaren,P1,2013,903,350,Yellow,Electric," $1,150,000.00 "
MG,HS,2020,160,190,Silver,SUV," $47,990.00 "
MG,XPower,2005,385,281,White,SUV," $49,778.00 "
MG,ZS,2021,114,175,Black,SUV," $20,242.00 "
Nissan,370Z,2010,332,253,Red,Sports," $34,715.00 "
Nissan,Fairlady,1994,128,193,Orange,Sports," $32,738.00 "
Nissan,GTR,2016,565,330,Silver,Sports," $113,540.00 "
Nissan,Juke,2015,153,205,Red,Compact," $38,500.00 "
Nissan,Skyline GT-R,1999,400,253,Blue,Sports," $81,929.00 "
Nissan,Titan,2017,400,185,Silver,SUV," $45,580.00 "
Pagani,Huayra BC,2016,791,383,Red,Sports," $3,500,000.00 "
Pagani,Zonda R,2010,740,375,Black,Sports," $1,120,000.00 "
Porsche,Carrera GT,2019,603,330,Yellow,Muscle," $114,400.00 "
Porsche,Cayman,2016,350,288,Grey,Sports," $75,400.00 "
Porsche,Panamera,2017,325,263,Blue,Muscle," $95,400.00 "
Porsche,Spyder,2014,608,345,Silver,Muscle," $162,150.00 "
Subaru,BRZ,2013,228,225,Blue,Sedan," $28,595.00 "
Subaru,Impreza,1998,182,193,Blue,Sports," $24,085.00 "
Subaru,WRX STi,2004,271,250,Red,Sedan," $30,605.00 "
Suzuki,Alto,2013,39,148,Grey,Compact," $7,595.00 "
Suzuki,Cultus,2021,67,180,Grey,Compact," $12,080.00 "
Suzuki,Swift,2018,88,118,Red,Compact," $23,490.00 "
Suzuki,Wagon-R,2017,82,120,Silver,SUV," $12,983.00 "
Toyota,Celica,1994,134,210,Red,Sports," $11,289.00 "
Toyota,Corolla,2011,169,182,White,Sedan," $21,550.00 "
Toyota,Fortuner,2018,163,190,Black,SUV," $62,945.00 "
Toyota,Prius,2014,194,185,Silver,Electric," $27,450.00 "
Toyota,Supra,1998,225,245,Orange,Sports," $78,990.00 "
Volkswagen,Beetle,1963,148,107,Yellow,Sedan," $25,290.00 "
Volkswagen,Golf GTI,1983,240,155,Silver,Compact," $30,530.00 "
Volkswagen,Scirocco,2011,158,251,Blue,Sedan," $43,282.00 "
Volkswagen,Tiguan,2022,184,183,White,SUV," $26,590.00 "
