"Pos","FullName","Team","Goals"
"LW","Cristiano Ronaldo","Real Madrid",450
"GK","Iker Casillas","Real Madrid",0
"CB","Sergio Ramos","Real Madrid",101
"CM","Toni Kroos","Real Madrid",27
"ST","Karim Benzema","Real Madrid",337
"CM","Luka Modric","Real Madrid",36
"LB","Marcelo","Real Madrid",38
"RW","Lionel Messi","Barcelona",672
"CB","Gerard Pique","Barcelona",52
"CM","Xavi","Barcelona",85
"ST","Antoins Greizmann","Atletico Madrid",149
"GK","Jan Oblak","Atletico Madrid",0
"ST","Robert Lewandowski","Bayern Munich",344
"CAM","Thomas Muller","Bayern Munich",296
"GK","Manuel Neuer","Bayern Munich",0
"LM","Frank Ribery","Bayern Munich",124
"CDM","Philipp Lahm","Bayern Munich",16
"CAM","Marco Reus","Dortmund",153
"CAM","Mario Gotze","Dortmund",45
"CM","Steven Gerrard","Liverpool",120
"ST","Mohamed Salah","Liverpool",173
"CAM","Philippe Coutinho","Liverpool",54
"LW","Eden Hazard","Chelsea",167
"GK","Thibaut Courtois","Chelsea",0
"CDM","Ngolo Kante","Chelsea",13
"CM","Paul Pogba","Manchester United",39
"GK","David De Gea","Manchester United",0
"ST","Wayne Rooney","Manchester United",253
"ST","Robin Van Persie","Manchester United",58
"CAM","Kevin De Bruyne","Manchester City",60
"CAM","David Silva","Manchester City",77
"ST","Sergio Aguero","Manchester City",260
"CAM","Mesut Ozil","Arsenal",44
"GK","Peter Cech","Arsenal",0
"ST","Kylian Mbappe","PSG",196
"LW","Neymar Jr","PSG",117
"LB","David Luiz","PSG",8
"CF","Memphis Depay","Lyon",16
"GK","Gianluigi Buffon","Juventus",0
"CF","Paulo Dybala","Juventus",115
"CM","Sami Khedira","Juventus",21
"CM","Miralem Pjanic","Juventus",22
"LW","Lorenzo Insigne","Napoli",122
"ST","Zlatan Ibrahimovic","AC Milan",92
"ST","Olivier Giroud","AC Milan",25
"ST","Romelo Lukaku","Inter Milan",66
"CB","Nemanja Vidic","Inter Milan",1
"CF","Francesco Totti","Roma",307
"CDM","Daniele De Rossi","Roma",63
"GK","Alisson Becker","Roma",1
"ST","Edin Dzeko","Wolfsburg",85
"CM","Evan Rakitic","Sevilla",49
"LM","Isco","Sevilla",1
"CB","Matthijs De Ligt","Ajax",13
"RW","Hakim Ziyech","Ajax",49
"ST","Harry Kane","Tottenham",200
"LW","Son Heung Mins","Tottenham",97
